_id_app,timestamp_app,device_id_app,activity_name_app,activity_type_app,confidence_app,activities_app,Date_app,Time_app,_id,timestamp,device_id,double_values_0,double_values_1,double_values_2,accuracy,Date,Time
25594,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,on_foot,2,67,"[{""activity"":""on_foot"",""confidence"":67},{""activity"":""walking"",""confidence"":67},{""activity"":""still"",""confidence"":16},{""activity"":""in_vehicle"",""confidence"":6},{""activity"":""on_bicycle"",""confidence"":3},{""activity"":""unknown"",""confidence"":3},{""activity"":""unknown"",""confidence"":3},{""activity"":""unknown"",""confidence"":3},{""activity"":""running"",""confidence"":1}]",6/16/18,7:33:47,319689461,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,4.106079102,-5.6590271,2.916854858,3,6/16/18,7:20:42
25595,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,still,3,72,"[{""activity"":""still"",""confidence"":72},{""activity"":""in_vehicle"",""confidence"":12},{""activity"":""on_foot"",""confidence"":6},{""activity"":""walking"",""confidence"":6},{""activity"":""unknown"",""confidence"":5},{""activity"":""unknown"",""confidence"":5},{""activity"":""unknown"",""confidence"":3},{""activity"":""on_bicycle"",""confidence"":1}]",6/16/18,7:34:54,319689462,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,7.647460938,-11.9234314,5.88873291,3,6/16/18,7:20:45
25596,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,still,3,85,"[{""activity"":""still"",""confidence"":85},{""activity"":""in_vehicle"",""confidence"":7},{""activity"":""unknown"",""confidence"":3},{""activity"":""unknown"",""confidence"":3},{""activity"":""unknown"",""confidence"":3},{""activity"":""on_foot"",""confidence"":2},{""activity"":""walking"",""confidence"":2}]",6/16/18,7:35:30,319689463,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,4.414764404,-9.97088623,7.350753784,3,6/16/18,7:20:48
25597,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,still,3,87,"[{""activity"":""still"",""confidence"":87},{""activity"":""on_foot"",""confidence"":4},{""activity"":""walking"",""confidence"":4},{""activity"":""in_vehicle"",""confidence"":3},{""activity"":""unknown"",""confidence"":3},{""activity"":""on_bicycle"",""confidence"":2},{""activity"":""unknown"",""confidence"":1},{""activity"":""unknown"",""confidence"":1}]",6/16/18,7:36:30,319689464,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,10.46859741,-6.338592529,10.81794739,3,6/16/18,7:20:51
25598,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,still,3,39,"[{""activity"":""still"",""confidence"":39},{""activity"":""unknown"",""confidence"":27},{""activity"":""in_vehicle"",""confidence"":7},{""activity"":""on_bicycle"",""confidence"":7},{""activity"":""on_foot"",""confidence"":7},{""activity"":""walking"",""confidence"":7},{""activity"":""running"",""confidence"":7},{""activity"":""unknown"",""confidence"":4},{""activity"":""unknown"",""confidence"":4}]",6/16/18,7:37:35,319689465,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,1.641479492,-5.632705688,4.08215332,3,6/16/18,7:20:54
25599,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,in_vehicle,0,71,"[{""activity"":""in_vehicle"",""confidence"":71},{""activity"":""unknown"",""confidence"":67},{""activity"":""unknown"",""confidence"":12},{""activity"":""still"",""confidence"":6},{""activity"":""on_bicycle"",""confidence"":4},{""activity"":""on_foot"",""confidence"":3},{""activity"":""walking"",""confidence"":3},{""activity"":""running"",""confidence"":3},{""activity"":""unknown"",""confidence"":3}]",6/16/18,7:39:38,319689466,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,11.16491699,-6.58744812,10.76052856,3,6/16/18,7:20:57
25600,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,in_vehicle,0,73,"[{""activity"":""in_vehicle"",""confidence"":73},{""activity"":""unknown"",""confidence"":70},{""activity"":""still"",""confidence"":8},{""activity"":""on_bicycle"",""confidence"":6},{""activity"":""on_foot"",""confidence"":3},{""activity"":""unknown"",""confidence"":3},{""activity"":""walking"",""confidence"":3},{""activity"":""unknown"",""confidence"":2}]",6/16/18,7:39:42,319689467,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,2.065002441,-10.14556885,-1.866409302,3,6/16/18,7:21:00
25601,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,in_vehicle,0,97,"[{""activity"":""in_vehicle"",""confidence"":97},{""activity"":""unknown"",""confidence"":96},{""activity"":""still"",""confidence"":2},{""activity"":""unknown"",""confidence"":1},{""activity"":""unknown"",""confidence"":1}]",6/16/18,7:40:47,319689468,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,3.996017456,-6.982254028,5.544174194,3,6/16/18,7:21:03
25602,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,in_vehicle,0,93,"[{""activity"":""in_vehicle"",""confidence"":93},{""activity"":""unknown"",""confidence"":92},{""activity"":""still"",""confidence"":6},{""activity"":""unknown"",""confidence"":1}]",6/16/18,7:41:51,319689469,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,8.676376343,-13.53619385,6.963119507,3,6/16/18,7:21:06
25603,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,in_vehicle,0,64,"[{""activity"":""in_vehicle"",""confidence"":64},{""activity"":""unknown"",""confidence"":56},{""activity"":""still"",""confidence"":25},{""activity"":""unknown"",""confidence"":5},{""activity"":""on_foot"",""confidence"":3},{""activity"":""walking"",""confidence"":3},{""activity"":""unknown"",""confidence"":2},{""activity"":""on_bicycle"",""confidence"":1}]",6/16/18,7:43:03,319689470,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,3.290130615,-9.717254639,7.216751099,3,6/16/18,7:21:09
25604,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,in_vehicle,0,95,"[{""activity"":""in_vehicle"",""confidence"":95},{""activity"":""unknown"",""confidence"":93},{""activity"":""still"",""confidence"":3},{""activity"":""unknown"",""confidence"":2},{""activity"":""unknown"",""confidence"":2}]",6/16/18,7:43:17,319689471,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,8.013565063,-10.07617188,7.195220947,3,6/16/18,7:21:12
25605,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,in_vehicle,0,37,"[{""activity"":""in_vehicle"",""confidence"":37},{""activity"":""unknown"",""confidence"":32},{""activity"":""unknown"",""confidence"":27},{""activity"":""still"",""confidence"":9},{""activity"":""on_bicycle"",""confidence"":7},{""activity"":""on_foot"",""confidence"":7},{""activity"":""walking"",""confidence"":7},{""activity"":""running"",""confidence"":7},{""activity"":""unknown"",""confidence"":4}]",6/16/18,7:44:31,319689472,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,4.3046875,-7.525421143,7.546966553,3,6/16/18,7:21:15
25606,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,tilting,5,100,"[{""activity"":""tilting"",""confidence"":100}]",6/16/18,7:44:50,319689473,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,7.422531128,-10.2436676,6.094512939,3,6/16/18,7:21:17
25607,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,in_vehicle,0,95,"[{""activity"":""in_vehicle"",""confidence"":95},{""activity"":""unknown"",""confidence"":85},{""activity"":""unknown"",""confidence"":10},{""activity"":""still"",""confidence"":3},{""activity"":""unknown"",""confidence"":1}]",6/16/18,7:44:51,319689474,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,9.434906006,0.380462646,7.551742554,3,6/16/18,7:21:20
25608,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,tilting,5,100,"[{""activity"":""tilting"",""confidence"":100}]",6/16/18,7:44:53,319689475,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,3.455230713,-0.997802734,-4.630111694,3,6/16/18,7:21:23
25609,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,in_vehicle,0,97,"[{""activity"":""in_vehicle"",""confidence"":97},{""activity"":""unknown"",""confidence"":90},{""activity"":""unknown"",""confidence"":6},{""activity"":""still"",""confidence"":1},{""activity"":""unknown"",""confidence"":1},{""activity"":""on_bicycle"",""confidence"":0}]",6/16/18,7:45:13,319689476,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.170883179,1.308868408,1.677368164,3,6/16/18,7:21:26
25610,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,tilting,5,100,"[{""activity"":""tilting"",""confidence"":100}]",6/16/18,7:45:16,319689477,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,12.34936523,-1.201202393,-3.701690674,3,6/16/18,7:21:29
25611,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,in_vehicle,0,74,"[{""activity"":""in_vehicle"",""confidence"":74},{""activity"":""unknown"",""confidence"":69},{""activity"":""unknown"",""confidence"":11},{""activity"":""still"",""confidence"":5},{""activity"":""unknown"",""confidence"":5},{""activity"":""on_bicycle"",""confidence"":3},{""activity"":""on_foot"",""confidence"":3},{""activity"":""walking"",""confidence"":3},{""activity"":""running"",""confidence"":3}]",6/16/18,7:45:44,319689478,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,12.14596558,-8.492126465,-7.613967896,3,6/16/18,7:21:32
25612,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,tilting,5,100,"[{""activity"":""tilting"",""confidence"":100}]",6/16/18,7:45:55,319689479,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,12.56471252,-5.479568481,-3.534194946,3,6/16/18,7:21:35
25613,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,in_vehicle,0,67,"[{""activity"":""in_vehicle"",""confidence"":67},{""activity"":""unknown"",""confidence"":63},{""activity"":""on_foot"",""confidence"":23},{""activity"":""walking"",""confidence"":23},{""activity"":""still"",""confidence"":7},{""activity"":""unknown"",""confidence"":4},{""activity"":""unknown"",""confidence"":3},{""activity"":""on_bicycle"",""confidence"":1}]",6/16/18,7:45:55,319689480,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,6.57069397,-8.786437988,-6.084945679,3,6/16/18,7:21:38
25614,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,tilting,5,100,"[{""activity"":""tilting"",""confidence"":100}]",6/16/18,7:45:59,319689481,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,3.235092163,-4.7784729,-4.7784729,3,6/16/18,7:21:41
25615,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,on_foot,2,39,"[{""activity"":""on_foot"",""confidence"":39},{""activity"":""walking"",""confidence"":39},{""activity"":""in_vehicle"",""confidence"":37},{""activity"":""unknown"",""confidence"":33},{""activity"":""unknown"",""confidence"":10},{""activity"":""still"",""confidence"":7},{""activity"":""unknown"",""confidence"":3},{""activity"":""on_bicycle"",""confidence"":2},{""activity"":""running"",""confidence"":2}]",6/16/18,7:45:59,319689482,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,3.754333496,-4.76171875,-7.333999634,3,6/16/18,7:21:44
25616,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,on_foot,2,76,"[{""activity"":""on_foot"",""confidence"":76},{""activity"":""walking"",""confidence"":76},{""activity"":""in_vehicle"",""confidence"":14},{""activity"":""unknown"",""confidence"":7},{""activity"":""unknown"",""confidence"":7},{""activity"":""unknown"",""confidence"":4},{""activity"":""on_bicycle"",""confidence"":3},{""activity"":""still"",""confidence"":2}]",6/16/18,7:47:16,319689483,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,3.452850342,-6.56350708,-3.61076355,3,6/16/18,7:21:47
25617,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,on_foot,2,81,"[{""activity"":""on_foot"",""confidence"":81},{""activity"":""walking"",""confidence"":81},{""activity"":""in_vehicle"",""confidence"":10},{""activity"":""unknown"",""confidence"":5},{""activity"":""unknown"",""confidence"":5},{""activity"":""still"",""confidence"":3},{""activity"":""unknown"",""confidence"":3},{""activity"":""on_bicycle"",""confidence"":1}]",6/16/18,7:47:20,319689484,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.036895752,-6.396011353,-8.544769287,3,6/16/18,7:21:50
25618,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,on_foot,2,76,"[{""activity"":""on_foot"",""confidence"":76},{""activity"":""walking"",""confidence"":76},{""activity"":""in_vehicle"",""confidence"":9},{""activity"":""still"",""confidence"":6},{""activity"":""unknown"",""confidence"":4},{""activity"":""unknown"",""confidence"":4},{""activity"":""unknown"",""confidence"":3},{""activity"":""on_bicycle"",""confidence"":2},{""activity"":""running"",""confidence"":1}]",6/16/18,7:47:26,319689485,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,8.054244995,-6.056228638,-4.034301758,3,6/16/18,7:21:53
25619,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,on_foot,2,33,"[{""activity"":""on_foot"",""confidence"":33},{""activity"":""walking"",""confidence"":33},{""activity"":""unknown"",""confidence"":28},{""activity"":""in_vehicle"",""confidence"":9},{""activity"":""still"",""confidence"":9},{""activity"":""on_bicycle"",""confidence"":8},{""activity"":""running"",""confidence"":7},{""activity"":""unknown"",""confidence"":4},{""activity"":""unknown"",""confidence"":4}]",6/16/18,7:47:50,319689486,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,-1.306488037,5.960525513,10.06900024,3,6/16/18,7:21:56
