_id_app,timestamp_app,device_id_app,activity_name_app,activity_type_app,confidence_app,activities_app,Date_app,Time_app,_id,timestamp,device_id,double_values_0,double_values_1,double_values_2,accuracy,Date,Time
20729,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,in_vehicle,0,92,"[{""activity"":""in_vehicle"",""confidence"":92},{""activity"":""unknown"",""confidence"":92},{""activity"":""unknown"",""confidence"":3},{""activity"":""on_foot"",""confidence"":2},{""activity"":""still"",""confidence"":2},{""activity"":""walking"",""confidence"":2}]",6/11/18,16:20:44,285285936,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.404281616,-7.509597778,-3.369415283,2,6/11/18,16:07:22
20730,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,still,3,40,"[{""activity"":""still"",""confidence"":40},{""activity"":""unknown"",""confidence"":22},{""activity"":""in_vehicle"",""confidence"":13},{""activity"":""on_foot"",""confidence"":9},{""activity"":""walking"",""confidence"":9},{""activity"":""on_bicycle"",""confidence"":6},{""activity"":""unknown"",""confidence"":6},{""activity"":""unknown"",""confidence"":6},{""activity"":""running"",""confidence"":5}]",6/11/18,16:21:19,285285937,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,6.649246216,-6.720977783,-1.663970947,2,6/11/18,16:07:25
20731,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,tilting,5,100,"[{""activity"":""tilting"",""confidence"":100}]",6/11/18,16:22:02,285285938,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,6.574188232,-7.192733765,-1.405548096,2,6/11/18,16:07:27
20732,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,in_vehicle,0,55,"[{""activity"":""in_vehicle"",""confidence"":55},{""activity"":""unknown"",""confidence"":50},{""activity"":""still"",""confidence"":23},{""activity"":""unknown"",""confidence"":10},{""activity"":""unknown"",""confidence"":5},{""activity"":""on_foot"",""confidence"":3},{""activity"":""walking"",""confidence"":3},{""activity"":""on_bicycle"",""confidence"":2},{""activity"":""running"",""confidence"":2}]",6/11/18,16:22:02,285285939,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,6.41078186,-7.22467041,-1.991516113,2,6/11/18,16:07:30
20733,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,tilting,5,100,"[{""activity"":""tilting"",""confidence"":100}]",6/11/18,16:23:02,285285940,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,6.745651245,-6.946228027,-1.74911499,2,6/11/18,16:07:32
20734,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,still,3,27,"[{""activity"":""still"",""confidence"":27},{""activity"":""unknown"",""confidence"":22},{""activity"":""in_vehicle"",""confidence"":16},{""activity"":""on_foot"",""confidence"":14},{""activity"":""walking"",""confidence"":14},{""activity"":""unknown"",""confidence"":8},{""activity"":""unknown"",""confidence"":8},{""activity"":""on_bicycle"",""confidence"":7},{""activity"":""running"",""confidence"":5}]",6/11/18,16:23:02,285285941,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.971435547,-7.827560425,-0.774856567,2,6/11/18,16:07:35
20735,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,tilting,5,100,"[{""activity"":""tilting"",""confidence"":100}]",6/11/18,16:23:07,285285942,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,6.262207031,-7.471130371,-1.380065918,2,6/11/18,16:07:37
20736,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,still,3,100,"[{""activity"":""still"",""confidence"":100}]",6/11/18,16:23:07,285285943,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,6.566589355,-7.272064209,-0.769561768,2,6/11/18,16:07:40
20737,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,still,3,59,"[{""activity"":""still"",""confidence"":59},{""activity"":""in_vehicle"",""confidence"":20},{""activity"":""unknown"",""confidence"":19},{""activity"":""unknown"",""confidence"":11},{""activity"":""on_bicycle"",""confidence"":3},{""activity"":""on_foot"",""confidence"":3},{""activity"":""walking"",""confidence"":3},{""activity"":""running"",""confidence"":3},{""activity"":""unknown"",""confidence"":1}]",6/11/18,16:23:37,285285944,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.394393921,-7.97215271,-2.264480591,2,6/11/18,16:07:42
20738,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,still,3,100,"[{""activity"":""still"",""confidence"":100}]",6/11/18,16:23:42,285285945,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.439300537,-8.013061523,-2.075866699,2,6/11/18,16:07:45
