_id_app,timestamp_app,device_id_app,activity_name_app,activity_type_app,confidence_app,activities_app,Date_app,Time_app,_id,timestamp,device_id,double_values_0,double_values_1,double_values_2,accuracy,Date,Time,Normalize,Normalize_0_1
20718.0,1528750000000.0,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,tilting,5.0,100.0,"[{""activity"":""tilting"",""confidence"":100}]",6/11/18,16:06:54,285285925,1528750000000.0,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,4.115661621,-8.566299438,-1.5744781490000002,3,6/11/18,16:06:53,-0.13657991428116745,0.5341855399616404
20719.0,1528750000000.0,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,on_bicycle,1.0,29.0,"[{""activity"":""on_bicycle"",""confidence"":29},{""activity"":""on_foot"",""confidence"":29},{""activity"":""walking"",""confidence"":29},{""activity"":""unknown"",""confidence"":22},{""activity"":""still"",""confidence"":6},{""activity"":""in_vehicle"",""confidence"":5},{""activity"":""running"",""confidence"":5},{""activity"":""unknown"",""confidence"":3},{""activity"":""unknown"",""confidence"":3}]",6/11/18,16:06:54,285285926,1528750000000.0,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.8498535160000005,-7.124633789,-2.2039794919999998,2,6/11/18,16:06:56,-0.2914819591324669,0.51864850727295
20720.0,1528750000000.0,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,on_bicycle,1.0,36.0,"[{""activity"":""on_bicycle"",""confidence"":36},{""activity"":""unknown"",""confidence"":28},{""activity"":""on_foot"",""confidence"":9},{""activity"":""walking"",""confidence"":9},{""activity"":""in_vehicle"",""confidence"":7},{""activity"":""still"",""confidence"":7},{""activity"":""running"",""confidence"":7},{""activity"":""unknown"",""confidence"":3},{""activity"":""unknown"",""confidence"":3}]",6/11/18,16:12:20,285285927,1528750000000.0,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,6.2260284420000005,-7.031997681,-2.479324341,2,6/11/18,16:06:59,-0.05593052776431051,0.5422748596077311
20721.0,1528750000000.0,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,tilting,5.0,100.0,"[{""activity"":""tilting"",""confidence"":100}]",6/11/18,16:14:15,285285928,1528750000000.0,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.951507567999999,-7.075759887999999,-1.471405029,2,6/11/18,16:07:01,-0.4075540035938783,0.507006213262104
20722.0,1528750000000.0,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,unknown,4.0,40.0,"[{""activity"":""unknown"",""confidence"":40},{""activity"":""in_vehicle"",""confidence"":10},{""activity"":""on_bicycle"",""confidence"":10},{""activity"":""on_foot"",""confidence"":10},{""activity"":""still"",""confidence"":10},{""activity"":""walking"",""confidence"":10},{""activity"":""running"",""confidence"":10},{""activity"":""unknown"",""confidence"":5},{""activity"":""unknown"",""confidence"":5}]",6/11/18,16:14:15,285285929,1528750000000.0,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.82131958,-7.5077972410000005,-1.9991607669999998,2,6/11/18,16:07:04,-0.06149353867732721,0.5417168767709902
20723.0,1528750000000.0,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,on_foot,2.0,31.0,"[{""activity"":""on_foot"",""confidence"":31},{""activity"":""walking"",""confidence"":31},{""activity"":""still"",""confidence"":30},{""activity"":""in_vehicle"",""confidence"":14},{""activity"":""unknown"",""confidence"":10},{""activity"":""unknown"",""confidence"":7},{""activity"":""unknown"",""confidence"":7},{""activity"":""on_bicycle"",""confidence"":4},{""activity"":""running"",""confidence"":2}]",6/11/18,16:15:30,285285930,1528750000000.0,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.484863281,-7.867782592999999,-2.413986206,2,6/11/18,16:07:06,0.12023756892449455,0.5599449263882302
20724.0,1528750000000.0,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,tilting,5.0,100.0,"[{""activity"":""tilting"",""confidence"":100}]",6/11/18,16:16:32,285285931,1528750000000.0,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.861221313,-7.718414307000001,-3.5187835689999996,2,6/11/18,16:07:09,0.5408473584603808,0.6021330592529427
20725.0,1528750000000.0,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,still,3.0,29.0,"[{""activity"":""still"",""confidence"":29},{""activity"":""on_foot"",""confidence"":23},{""activity"":""walking"",""confidence"":23},{""activity"":""in_vehicle"",""confidence"":17},{""activity"":""unknown"",""confidence"":12},{""activity"":""unknown"",""confidence"":8},{""activity"":""unknown"",""confidence"":8},{""activity"":""on_bicycle"",""confidence"":4},{""activity"":""running"",""confidence"":3}]",6/11/18,16:16:32,285285932,1528750000000.0,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.058792114,-7.721084595,-3.554718018,2,6/11/18,16:07:11,0.12172822879219858,0.5600944430141371
20726.0,1528750000000.0,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,in_vehicle,0.0,96.0,"[{""activity"":""in_vehicle"",""confidence"":96},{""activity"":""unknown"",""confidence"":96},{""activity"":""still"",""confidence"":2},{""activity"":""unknown"",""confidence"":1}]",6/11/18,16:17:36,285285933,1528750000000.0,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.434051514,-7.6635284420000005,-3.117111206,2,6/11/18,16:07:14,0.12841962280716324,0.5607656052808665
20727.0,1528750000000.0,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,in_vehicle,0.0,39.0,"[{""activity"":""in_vehicle"",""confidence"":39},{""activity"":""unknown"",""confidence"":31},{""activity"":""still"",""confidence"":28},{""activity"":""unknown"",""confidence"":12},{""activity"":""on_foot"",""confidence"":9},{""activity"":""walking"",""confidence"":9},{""activity"":""unknown"",""confidence"":7},{""activity"":""on_bicycle"",""confidence"":3},{""activity"":""running"",""confidence"":3}]",6/11/18,16:18:39,285285934,1528750000000.0,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.543334961,-7.664169312,-2.734115601,2,6/11/18,16:07:16,0.07617523751791211,0.555525372830618
