Device_ID,mean_magnitude,std_magnitude,median_magnitude,min_magnitude,max_magnitude,num_steps,skewness,kurt,ratio,bandpower,snr,thd
p2a,1.0611428710125768,0.37551219961934623,1.004797662664567,0.12210165956458802,4.266976493157586,24,0.0,-3.0,0.5898293327909859,0.14100941206295972,9.131165650117469e-15,0.9772196730265068
p3a,1.0709124510582435,0.28658836618597155,1.006627186752888,0.27358788246333593,2.36942834425896,5,0.0,-3.0,0.3129088602112448,0.08213289163314455,-1.040629774220713e-15,0.9396555309025141
p4a,1.0959657541994254,0.46571075120916766,0.9972187359661888,0.10199885324832518,4.614700242307073,7,0.0,-3.0,0.4425984365849753,0.21688650379180727,-1.9390545426654074e-15,0.986089057968271
p4b,1.0736089379025993,0.3360989298493614,1.021272891722349,0.20831814470903381,6.253835107803319,14,0.0,-3.0,0.9430845067447419,0.11296249064588565,4.753817913975517e-15,0.9930431851471874
p5b,0.9807422717280831,0.019600526336806298,0.9823068397437896,0.9537262096477049,1.0046291977770483,1,0.0,-3.0,0.0,0.0003841806326798373,-1.4160627698812805e-15,1.0000000000000002
p7a,1.0197025958122572,0.14760546924453463,1.0120804460012773,0.6771781726777586,1.4042022488995014,1,0.0,-3.0,0.0,0.021787374550899248,1.0256669321765462e-15,0.8808229971141599
p10a,1.179818934998498,0.714441426212319,1.033040227650098,0.15229281237193798,5.232882040668518,3,0.0,-3.0,0.3934565054300193,0.5104265514882925,7.220654824301745e-16,0.966858326113236
p10b,1.1772438646925936,0.6518104974966462,1.0136354096235394,0.12279516067811484,5.029794041170495,4,0.0,-3.0,0.8171898185465475,0.42485692464682534,1.1753515893632238e-15,0.9759900972376805
p11a,1.0152344773803166,0.13054923414824152,1.0010113897312578,0.6845193136825505,1.7989826209177424,2,0.0,-3.0,0.384318189282474,0.01704310253669239,5.732144860542083e-16,0.917411985174403
p14a,1.037157942377748,0.23712266799277545,1.0027414761170166,0.4543479768715654,2.553065161444421,5,0.0,-3.0,0.3562333112164366,0.05622715967601203,-1.4957030711123523e-15,0.9701980049506848
p14b,1.0277484276023334,0.25487364576360816,0.9954316833881204,0.4086714039514382,2.035188149046203,2,0.0,-3.0,0.9807170042593614,0.06496057530483318,6.685086932011417e-16,0.9654230563925051
