_id,timestamp,device_id,activity_name,activity_type,confidence,activities
159,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab0,0,5,100,"[{""activity"":""tilting"",""confidence"":100}]"
160,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab0,0,2,38,"[{""activity"":""on_foot"",""confidence"":38},{""activity"":""walking"",""confidence"":38},{""activity"":""unknown"",""confidence"":22},{""activity"":""still"",""confidence"":14},{""activity"":""in_vehicle"",""confidence"":8},{""activity"":""on_bicycle"",""confidence"":7},{""activity"":""running"",""confidence"":5}]"
161,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab0,1,4,40,"[{""activity"":""unknown"",""confidence"":40},{""activity"":""in_vehicle"",""confidence"":10},{""activity"":""on_bicycle"",""confidence"":10},{""activity"":""on_foot"",""confidence"":10},{""activity"":""still"",""confidence"":10},{""activity"":""walking"",""confidence"":10},{""activity"":""running"",""confidence"":10}]"
162,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab0,1,2,88,"[{""activity"":""on_foot"",""confidence"":88},{""activity"":""walking"",""confidence"":88},{""activity"":""still"",""confidence"":4},{""activity"":""unknown"",""confidence"":3},{""activity"":""in_vehicle"",""confidence"":2},{""activity"":""on_bicycle"",""confidence"":2},{""activity"":""running"",""confidence"":1}]"
163,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab0,1,5,100,"[{""activity"":""tilting"",""confidence"":100}]"
164,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab0,1,2,92,"[{""activity"":""on_foot"",""confidence"":92},{""activity"":""walking"",""confidence"":92},{""activity"":""unknown"",""confidence"":4},{""activity"":""running"",""confidence"":2},{""activity"":""on_bicycle"",""confidence"":1},{""activity"":""still"",""confidence"":1}]"
165,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab0,1,5,100,"[{""activity"":""tilting"",""confidence"":100}]"
166,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab0,1,2,98,"[{""activity"":""on_foot"",""confidence"":98},{""activity"":""walking"",""confidence"":98},{""activity"":""unknown"",""confidence"":1},{""activity"":""running"",""confidence"":1}]"
167,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab0,1,2,94,"[{""activity"":""on_foot"",""confidence"":94},{""activity"":""walking"",""confidence"":94},{""activity"":""running"",""confidence"":4},{""activity"":""unknown"",""confidence"":2}]"
168,1.52E+12,270e4af7-ba49-4e1f-bada-b18c0bc13ab0,1,2,91,"[{""activity"":""on_foot"",""confidence"":91},{""activity"":""walking"",""confidence"":91},{""activity"":""running"",""confidence"":8},{""activity"":""unknown"",""confidence"":1}]"
